path_id,course_id,sequence_order
path_production-ai-engineer-path,crs_ai-engineer--by-sol,1
path_production-ai-engineer-path,crs_ai-deployment--by-sam,2
path_full-stack-genai-path,crs_building-production-rag-systems,1
path_full-stack-genai-path,crs_prompt-engineering-to-production,2
path_ml---mlops-path,crs_machine-learning-foundations,1
path_ml---mlops-path,crs_mlops-for-real-teams,2
path_agentic-systems-specialist-pat,crs_agentic-workflows-w-langgraph,1
path_agentic-systems-specialist-pat,crs_multi-agent-systems-design,2
path_agentic-systems-specialist-pat,crs_agent-evaluation--observability,3
path_ai-infrastructure-path,crs_cloud-infra-for-ai-workloads,1
path_ai-infrastructure-path,crs_containers--kubernetes-for-ai,2
path_ai-infrastructure-path,crs_ci-cd-for-ml-pipelines,3
path_applied-deep-learning-path,crs_deep-learning-foundations,1
path_applied-deep-learning-path,crs_fine-tuning-llms,2
path_applied-deep-learning-path,crs_diffusion-models-explained,3
path_data-foundations-for-ai-path,crs_data-pipelines-with-python,1
path_data-foundations-for-ai-path,crs_numpy--pandas-in-depth,2
path_data-foundations-for-ai-path,crs_feature-engineering-at-scale,3
path_ai-security-path,crs_cloud-security-fundamentals,1
path_ai-security-path,crs_securing-ai-applications,2
path_ai-security-path,crs_threat-modeling-in-practice,3
path_ai-product-builder-path,crs_product-sense-for-ai-features,1
path_ai-product-builder-path,crs_prototyping-with-ai-tools,2
path_ai-product-builder-path,crs_ux-research-fundamentals,3
path_mobile-ai-developer-path,crs_ios-development-with-swift,1
path_mobile-ai-developer-path,crs_cross-platform-apps-with-react-native,2
path_mlops-reliability-path,crs_model-monitoring-in-production,1
path_mlops-reliability-path,crs_experiment-tracking--reproducibility,2
path_mlops-reliability-path,crs_scaling-inference-systems,3
path_ai-for-business-leaders-path,crs_ai-roi-for-business-leaders,1
path_ai-for-business-leaders-path,crs_data-driven-decision-making,2
