id,title,description,tags,level_range,duration_months,price,discount_amount,has_capstone,is_active,embedding_synced_at,created_at,updated_at
path_production-ai-engineer-path,Production AI Engineer Path,From agentic fundamentals to deploying production AI systems.,"[""Agentic AI"", ""Cloud & DevOps"", ""Generative AI"", ""MLOps"", ""Python for AI""]",Intermediate-Advanced,4,468.0,60.0,1,1,2025-10-11 09:05:00,2025-10-11 09:00:00,2025-10-11 09:00:00
path_full-stack-genai-path,Full-Stack GenAI Path,Retrieval-augmented generation through prompt-engineering-to-production.,"[""Agentic AI"", ""Generative AI"", ""Python for AI""]",Intermediate-Advanced,3,343.0,45.0,1,1,2026-02-08 09:05:00,2026-02-08 09:00:00,2026-02-08 09:00:00
path_ml---mlops-path,ML → MLOps Path,Machine learning foundations through operating models in production.,"[""Cloud & DevOps"", ""MLOps"", ""Machine Learning"", ""Python for AI""]",Beginner-Intermediate,4,328.0,40.0,0,1,2026-02-13 09:05:00,2026-02-13 09:00:00,2026-02-13 09:00:00
path_agentic-systems-specialist-pat,Agentic Systems Specialist Path,"Deep, hands-on path for building and evaluating multi-agent systems.","[""Agentic AI"", ""MLOps"", ""Python for AI""]",Advanced,5,517.0,70.0,1,1,2025-09-19 09:05:00,2025-09-19 09:00:00,2025-09-19 09:00:00
path_ai-infrastructure-path,AI Infrastructure Path,"Cloud, containers, and CI/CD for teams running AI workloads.","[""Cloud & DevOps"", ""MLOps""]",Intermediate-Advanced,4,502.0,55.0,0,1,2026-02-11 09:05:00,2026-02-11 09:00:00,2026-02-11 09:00:00
path_applied-deep-learning-path,Applied Deep Learning Path,From ML foundations to fine-tuning and diffusion models.,"[""Generative AI"", ""Machine Learning"", ""Python for AI""]",Intermediate-Advanced,5,562.0,65.0,1,1,2025-09-30 09:05:00,2025-09-30 09:00:00,2025-09-30 09:00:00
path_data-foundations-for-ai-path,Data Foundations for AI Path,Data engineering fundamentals that feed every downstream ML system.,"[""Data Engineering"", ""Machine Learning"", ""Python for AI""]",Beginner-Intermediate,4,392.0,35.0,0,1,2025-01-23 09:05:00,2025-01-23 09:00:00,2025-01-23 09:00:00
path_ai-security-path,AI Security Path,Securing AI applications and the cloud infrastructure they run on.,"[""Agentic AI"", ""Career Skills"", ""Cloud & DevOps"", ""Cybersecurity""]",Intermediate-Advanced,4,447.0,50.0,1,1,2025-10-07 09:05:00,2025-10-07 09:00:00,2025-10-07 09:00:00
path_ai-product-builder-path,AI Product Builder Path,"Product sense, prototyping, and UX research for AI-powered features.","[""Career Skills"", ""Generative AI"", ""Product & Design""]",Beginner-Intermediate,3,297.0,30.0,0,1,2025-05-27 09:05:00,2025-05-27 09:00:00,2025-05-27 09:00:00
path_mobile-ai-developer-path,Mobile AI Developer Path,Native and cross-platform mobile development for AI-powered apps.,"[""Career Skills"", ""Mobile Development"", ""Product & Design""]",Beginner-Intermediate,4,348.0,0.0,0,1,2025-11-17 09:05:00,2025-11-17 09:00:00,2025-11-17 09:00:00
path_mlops-reliability-path,MLOps Reliability Path,"Monitoring, experiment tracking, and inference scaling for production ML.","[""Cloud & DevOps"", ""MLOps"", ""Machine Learning""]",Advanced,4,512.0,45.0,1,1,2025-02-12 09:05:00,2025-02-12 09:00:00,2025-02-12 09:00:00
path_ai-for-business-leaders-path,AI for Business Leaders Path,ROI framing and data-driven decision-making for non-technical leaders.,"[""Business & Finance"", ""Career Skills"", ""Data Engineering""]",Beginner,2,248.0,0.0,0,1,2026-03-10 09:05:00,2026-03-10 09:00:00,2026-03-10 09:00:00
