id,title,instructor,description,tags,level,duration_weeks,price,rating,learners_count,is_active,deleted_at,embedding_synced_at,created_at,updated_at
crs_ai-engineer--by-sol,AI Engineer — by Sol,Sol Alvarez,"AI Engineer — by Sol — a intermediate-level, 8-week course covering Agentic AI, Generative AI, Python for AI.","[""Agentic AI"", ""Generative AI"", ""Python for AI""]",Intermediate,8,249.0,4.9,1140,1,,2025-05-09 09:05:00,2025-05-09 09:00:00,2025-05-09 09:00:00
crs_ai-engineer--by-freed,AI Engineer — by Freed,Freed Osei,"AI Engineer — by Freed — a intermediate-level, 8-week course covering Agentic AI, Generative AI.","[""Agentic AI"", ""Generative AI""]",Intermediate,8,229.0,4.7,860,1,,2026-02-03 09:05:00,2026-02-03 09:00:00,2026-02-03 09:00:00
crs_ai-deployment--by-sam,AI Deployment — by Sam,Sam Whitfield,"AI Deployment — by Sam — a advanced-level, 6-week course covering MLOps, Cloud & DevOps, Agentic AI.","[""MLOps"", ""Cloud & DevOps"", ""Agentic AI""]",Advanced,6,279.0,4.8,640,1,,2026-03-20 09:05:00,2026-03-20 09:00:00,2026-03-20 09:00:00
crs_agentic-workflows-w-langgraph,Agentic Workflows w/ LangGraph,Priya Nathan,"Agentic Workflows w/ LangGraph — a advanced-level, 5-week course covering Agentic AI, Python for AI.","[""Agentic AI"", ""Python for AI""]",Advanced,5,199.0,4.8,510,1,,2025-03-18 09:05:00,2025-03-18 09:00:00,2025-03-18 09:00:00
crs_mlops-for-real-teams,MLOps for Real Teams,Sam Whitfield,"MLOps for Real Teams — a intermediate-level, 6-week course covering MLOps, Cloud & DevOps, Machine Learning.","[""MLOps"", ""Cloud & DevOps"", ""Machine Learning""]",Intermediate,6,219.0,4.6,730,1,,2025-11-12 09:05:00,2025-11-12 09:00:00,2025-11-12 09:00:00
crs_building-production-rag-systems,Building Production RAG Systems,Elena Kobayashi,"Building Production RAG Systems — a advanced-level, 7-week course covering Generative AI, Agentic AI, Python for AI.","[""Generative AI"", ""Agentic AI"", ""Python for AI""]",Advanced,7,259.0,4.9,480,1,,2025-11-27 09:05:00,2025-11-27 09:00:00,2025-11-27 09:00:00
crs_machine-learning-foundations,Machine Learning Foundations,Marcus Webb,"Machine Learning Foundations — a beginner-level, 6-week course covering Machine Learning, Python for AI.","[""Machine Learning"", ""Python for AI""]",Beginner,6,149.0,4.7,2100,1,,2025-12-08 09:05:00,2025-12-08 09:00:00,2025-12-08 09:00:00
crs_cloud-infra-for-ai-workloads,Cloud Infra for AI Workloads,Dana Cho,"Cloud Infra for AI Workloads — a intermediate-level, 5-week course covering Cloud & DevOps, MLOps.","[""Cloud & DevOps"", ""MLOps""]",Intermediate,5,189.0,4.5,590,1,,2026-01-20 09:05:00,2026-01-20 09:00:00,2026-01-20 09:00:00
crs_prompt-engineering-to-production,Prompt Engineering to Production,Elena Kobayashi,"Prompt Engineering to Production — a beginner-level, 4-week course covering Generative AI, Agentic AI.","[""Generative AI"", ""Agentic AI""]",Beginner,4,129.0,4.8,1580,1,,2025-03-20 09:05:00,2025-03-20 09:00:00,2025-03-20 09:00:00
crs_multi-agent-systems-design,Multi-Agent Systems Design,Priya Nathan,"Multi-Agent Systems Design — a advanced-level, 6-week course covering Agentic AI, Python for AI.","[""Agentic AI"", ""Python for AI""]",Advanced,6,219.0,4.7,410,1,,2026-02-08 09:05:00,2026-02-08 09:00:00,2026-02-08 09:00:00
crs_agent-evaluation--observability,Agent Evaluation & Observability,Dana Cho,"Agent Evaluation & Observability — a advanced-level, 4-week course covering Agentic AI, MLOps.","[""Agentic AI"", ""MLOps""]",Advanced,4,169.0,4.5,300,1,,2025-04-20 09:05:00,2025-04-20 09:00:00,2025-04-20 09:00:00
crs_supervised-learning-in-practice,Supervised Learning in Practice,Marcus Webb,"Supervised Learning in Practice — a beginner-level, 6-week course covering Machine Learning, Python for AI.","[""Machine Learning"", ""Python for AI""]",Beginner,6,139.0,4.6,1900,1,,2025-03-18 09:05:00,2025-03-18 09:00:00,2025-03-18 09:00:00
